,TF doc1,TF doc2,TF doc3,DF,IDF,TF-IDF doc1,TF-IDF doc2,TF-IDF doc3
radônio,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
relativamente,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
poucos,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
diagnosticado,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
classificado,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
publicados,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
últimos,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
ocorre,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
desenvolvidos,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
pulmonar,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
células,0.0,0.025380710659898477,0.0,5.0,0.6989700043360189,0.0,0.01774035544000048,0.0
pequenas,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
cpcnp,0.0,0.02030456852791878,0.0,4.0,0.6989700043360189,0.0,0.014192284352000381,0.0
geralmente,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
estágios,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
avançados,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
baixas,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
pacientes,0.0,0.02030456852791878,0.028901734104046242,9.0,0.6989700043360189,0.0,0.014192284352000381,0.020201445212023664
apresentam,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
localmente,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
avançada,0.0,0.005076142131979695,0.005780346820809248,2.0,0.6989700043360189,0.0,0.0035480710880000954,0.004040289042404733
metastática,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
estágio,0.0,0.015228426395939087,0.0,3.0,0.6989700043360189,0.0,0.010644213264000288,0.0
iii,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
iv,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
banco,0.0,0.005076142131979695,0.011560693641618497,3.0,0.6989700043360189,0.0,0.0035480710880000954,0.008080578084809466
paulo,0.0,0.015228426395939087,0.005780346820809248,4.0,0.6989700043360189,0.0,0.010644213264000288,0.004040289042404733
registrados,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
apresentavam,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
i,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
contrastam,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
referentes,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
período,0.0,0.015228426395939087,0.0,3.0,0.6989700043360189,0.0,0.010644213264000288,0.0
eua,0.0,0.015228426395939087,0.0,3.0,0.6989700043360189,0.0,0.010644213264000288,0.0
reino,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
unido,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
ensaio,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
rastreamento,0.0,0.015228426395939087,0.0,3.0,0.6989700043360189,0.0,0.010644213264000288,0.0
realizado,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
determinar,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
